"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2007";"k$";"11656,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2007";"k$";"11481,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2007";"k$";"11630,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2008";"k$";"12697,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2008";"k$";"11853,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2008";"k$";"12140";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2008";"k$";"12457,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2008";"k$";"12301,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2008";"k$";"11082,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2008";"k$";"11682,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2008";"k$";"11940,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2008";"k$";"11496,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2008";"k$";"11628,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2008";"k$";"11570,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2008";"k$";"11890,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2009";"k$";"12601,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2009";"k$";"11188,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2009";"k$";"12240";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2009";"k$";"12164,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2009";"k$";"11506,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2009";"k$";"11185,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2009";"k$";"11410,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2009";"k$";"11560,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2009";"k$";"11323,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2009";"k$";"11504,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2009";"k$";"11388";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2009";"k$";"11840,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2010";"k$";"12774,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2010";"k$";"11382,4";""
