"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2010";"$/hl";"75,9845";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2010";"$/hl";"79,8362";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2010";"$/hl";"77,3813";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2010";"$/hl";"79,3968";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2011";"$/hl";"76,473";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2011";"$/hl";"81,3628";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2011";"$/hl";"80,8605";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2011";"$/hl";"78,7512";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2011";"$/hl";"78,795";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2011";"$/hl";"78,7135";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2011";"$/hl";"75,0249";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2011";"$/hl";"77,1976";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2011";"$/hl";"81,172";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2011";"$/hl";"81,0842";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2011";"$/hl";"83,4467";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2011";"$/hl";"81,0836";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2012";"$/hl";"81,068";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2012";"$/hl";"82,3092";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2012";"$/hl";"78,5629";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2012";"$/hl";"73,2744";""
