"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";"";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2009";"k$";"178750,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2009";"k$";"173813,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2009";"k$";"176315,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2009";"k$";"175694";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2009";"k$";"190209,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2010";"k$";"185201,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2010";"k$";"174144,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2010";"k$";"182948,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2010";"k$";"187742,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2010";"k$";"189116,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2010";"k$";"178736";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2010";"k$";"182202,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2010";"k$";"178302,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2010";"k$";"176492,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2010";"k$";"190478,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2010";"k$";"180394,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2010";"k$";"192290,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2011";"k$";"187409,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2011";"k$";"181508";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2011";"k$";"199750,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2011";"k$";"188652,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2011";"k$";"195785,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2011";"k$";"189298,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2011";"k$";"183101,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2011";"k$";"187502,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2011";"k$";"188985,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2011";"k$";"192617,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2011";"k$";"194495,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2011";"k$";"198572,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2012";"k$";"201848,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2012";"k$";"193771,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2012";"k$";"197809,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2012";"k$";"178929,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2012";"k$";"199675,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2012";"k$";"186440,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2012";"k$";"187903,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2012";"k$";"188757,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2012";"k$";"189295,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2012";"k$";"192846,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2012";"k$";"196152,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2012";"k$";"207346,6";""
